_author_name,Author,DBLP URL,MTMT id,MTA ATT id,MTMT name,Category,MTMT Status,Works,Affiliations,Core A*,Core A,Core A* Papers,Core A Papers,Core B,Core C,No Core,Hungarian Core A* equivalent,Core A* equivalent,First Author Core A* equivalent,MTMT Journal Publications,MTMT Conference Publications,MTMT Total Citations,MTMT Journal D1 Equivalents,MTMT Journal D1,MTMT Journal Q1,MTMT Journal Q2,MTMT Affiliations,Aktuális fokozat szakterülete,Kutatási téma,MTA Bizottság,Elérhetőségek,Aktuális fokozat,Szervezeti tagságok,PhD éve,Foglalkozás,Core A* equivalent Author Order,Hungarian Core A* equivalent Author Order,First Author Core A* equivalent Author Order,Years Since PhD,Age Group,Category Core A* Rank,Category Hungarian Core A* Rank,Category First Author Core A* Rank,Age Group Core A* Rank,Age Group Hungarian Core A* Rank,Age Group First Author Core A* Rank,MTMT Journal Q3,MTMT Journal Q4,Született,MTA tagság,MTA kép,Díjak,DBLP alias
Csaba Szepesvári,Csaba Szepesvári,https://dblp.org/pid/62/567,https://m2.mtmt.hu/api/author/10011413,https://mta.hu/koztestuleti_tagok?PersonId=16901,Szepesvári Csaba (Gépi tanulás),theory,inactive,abroad,SZTE-2000; SZTAKI 2000-2006; DeepMind & University of Alberta; University of Alberta 2007-,94,31,9,6,18,8,70,11.916666666666666,108.0,3.833333333333333,34,4,3193,8.333333333333334,5,6,8,Gépi Tanulás Kutatócsoport MTA SZTAKI [1998-2012]; MTA-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2016-2022]; MTA-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / ITCS [2007-2015]; Energia- és Környezetbiztonsági Intézet HUN-REN EK EKBI [2013-]; Izotópkutató Intézet MTA EK IKI [2012-2012]; ELKH-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2022-2023]; HUN-REN-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2023-],valószínűségszámítás és mat. stat.,Megerősítéses tanulás Tanuláselmélet,Informatika- és Számítástudományi Bizottság,"Department of Computing Science University of Alberta T6G 2E8 Edmonton, Athabasca Hall Kanada; Számítástechnikai és Automatizálási Kutatóintézet Gépi Tanulás Kutatócsoport",PhD (1999),Informatika- és Számítástudományi Bizottság,1999,Associate Professor,1,15,38,26,20+ év,1,8,27,1,2,3,,,,,,,
Éva Tardos,Éva Tardos,https://dblp.org/pid/t/EvaTardos,https://m2.mtmt.hu/api/author/10031865,-,Tardos Éva (Matematika),theory,inactive,abroad,Cornell University,54,13,1,1,22,5,13,1.3333333333333333,62.416666666666664,0.6666666666666666,57,2,8308,16.5,14,7,1,Számítógéptudományi Tanszék ELTE / TTK / Mat_I Szgtud_Tsz [2006-],,,,,,,,,2,179,201,0,0-5 év,2,71,73,1,110,145,,,,,,,
Dániel Marx,Dániel Marx,https://dblp.org/pid/95/1832,https://m2.mtmt.hu/api/author/10034232,https://mta.hu/koztestuleti_tagok?PersonId=32657,Marx Dániel (számítástudomány),theory,inactive,abroad,"CISPA Helmholtz Center for Information Security, Saarbrücken, Germany 2020-; Max Planck Institute for Informatics, Saarbrücken, Germany 2019-2020; SZTAKI 2012-2019; Humboldt University Berlin, Germany 2010-2011; Tel Aviv University, Israel 2009-2010; BME-SZIT -2005",42,49,20,20,25,6,23,30.083333333333336,62.99999999999999,17.083333333333336,110,14,3254,36.14583333333333,17,38,37,Számítástudományi és Információelméleti Tanszék BME / VIK SZIT [2000-]; Paraméteres Algoritmusok és Bonyolultság Kutatócsoport HRN SZTAKI / INFKL [2012-2020],Számítástudomány,,Informatika- és Számítástudományi Bizottság,"CISPA Helmholtz Center for Information Security 66123 Saarbrücken, Stuhlsatzenhaus 5 Németország Email: dmarx@cs.bme.hu E-mail: marx@cispa.de",MTA doktora (2021),Informatika- és Számítástudományi Bizottság (szavazati jogú tag),2005,,2,1,5,20,10-20 év,2,1,5,1,1,1,3,1,"Budapest, 1977.02.24.",,,,
Barnabás Póczos,Barnabás Póczos,https://dblp.org/pid/15/4829,https://m2.mtmt.hu/api/author/10017196,-,Póczos Barnabás (Számítástechnika),applied,inactive,abroad,Carnegie Mellon University,45,26,2,5,10,11,32,4.5,56.24999999999999,5.583333333333334,13,0,213,4.5,3,,9,Információs Rendszerek Tanszék ELTE / IK [2006-]; MTA-ELTE Intelligens Adatbázisok Kutatócsoport (2006 végéig működött) MTA TKI MTAELTEIAK [1998-2006],,,,,,,,,4,62,22,0,0-5 év,1,27,6,2,34,17,,,,,,,
Dániel Baráth,Dániel Baráth,https://dblp.org/pid/166/4789,https://m2.mtmt.hu/api/author/10048611,-,Baráth Dániel (Számítógépes látás),applied,inactive,abroad,SZTAKI -2020; ETH Zurich 2021--,47,7,11,5,11,2,8,14.333333333333332,51.333333333333336,15.0,20,11,1349,8.5,7,2,3,Elosztott Események Elemzése Kutatócsoport MTA SZTAKI [1991-2016]; PhD Informatika Doktori Iskola ELTE / IK PhD_Inf_DI [2006-]; Gépi Érzékelés Kutatólaboratórium HRN SZTAKI GÉK [2017-]; Geometriai Modellezés és Számítógépes Látás Kutatólaboratórium MTA SZTAKI [1991-2015],,,,,,,,,5,9,6,0,0-5 év,2,4,1,3,7,5,4,,,rendes tag,,,
László Babai,László Babai,https://dblp.org/pid/b/LaszloBabai,https://m2.mtmt.hu/api/author/10000900,-,Babai László (Matematika),theory,inactive,abroad,"University of Chicago, Departments of Computer Science and Mathematics",47,7,8,0,6,1,5,8.0,50.41666666666667,47.41666666666667,123,1,8004,7.916666666666666,2,15,5,Diszkrét Matematika RAMKI DM [1955-2021]; Matematikai Intézet ELTE / TTK Mat_I [2006-],,,,,,,,,6,29,1,0,0-5 év,4,16,1,4,18,1,1,,,rendes tag,,,
Zsolt Kira,Zsolt Kira,https://dblp.org/pid/36/4127,,,,,,hungary,Georgia Institute of Technology,36,11,0,0,16,3,25,0.0,42.58333333333333,2.5,,,,,,,,,,,,,,,,,7,334,62,0,0-5 év,1,23,9,5,236,52,,,,,,,
Csaba D. Tóth,Csaba D. Tóth,https://dblp.org/pid/t/CsabaToth,https://m2.mtmt.hu/api/author/10070026,-,Tóth Csaba (algebra),theory,inactive,abroad,ELTE -1997; California State University Northridge,16,52,1,2,20,25,30,1.6666666666666665,38.75,2.916666666666667,9,0,82,2.083333333333333,1,2,1,Algebra Tanszék BME / TTK / MI AT [2000-2023]; Algebra és Geometria Tanszék BME / TTK / MI AGT [2023-],,,,,,,,,8,179,62,0,0-5 év,5,71,40,6,110,52,,4,,,,,
András György 0001,András György 0001,https://dblp.org/pid/72/251-1,https://m2.mtmt.hu/api/author/10013248,https://mta.hu/koztestuleti_tagok?PersonId=21503,"György András (Információelmélet, gépi tanulás, távközlés)",theory,inactive,abroad,"BME-SZIT 2006-2011; University of Alberta, Edmonton, AB, Canada; Google Deepmind, London, UK; Imperial College London, UK",33,6,4,0,7,11,26,4.75,37.08333333333333,6.666666666666667,18,1,548,11.333333333333332,10,2,4,Gépi Tanulás Kutatócsoport MTA SZTAKI [1998-2012]; Számítástudományi és Információelméleti Tanszék BME / VIK SZIT [2000-],Műszaki tudomány,Gépi tanulás Információelmélet Telekommunikáció,Távközlési Tudományos Bizottság,"Számítástechnikai és Automatizálási Kutatóintézet Gépi Tanulás Kutatócsoport 1111 Budapest, Kende utca 13-17. Magyarország",PhD (2003),Távközlési Tudományos Bizottság,2003,,9,62,18,22,20+ év,6,36,13,2,14,1,,,,,,,
Mario Szegedy,Mario Szegedy,https://dblp.org/pid/21/3238,https://m2.mtmt.hu/api/author/10051051,-,Szegedy Márió (számítástudomány),theory,,hungary,Rutgers University,29,12,1,0,9,5,9,1.0,34.916666666666664,7.5,33,5,5223,7.5,4,7,7,MTA Rényi Alfréd Matematikai Kutatóintézet MTA RAMKI [1955-2019]; HUN-REN Rényi Alfréd Matematikai Kutatóintézet HRN RAMKI [2024-]; Rényi Alfréd Matematikai Kutatóintézet RAMKI [2019-2023]; Matematika Doktori Iskola ELTE / TTK PhD_Mat_DI [2006-],,,,,,,,,11,179,13,0,0-5 év,8,71,10,8,110,11,,,,,,,
