Year;A* (selected);A* (other);Core A;Core B + A* short;Core C + other short;no_rank
2000;845;1143;6210;4475;12418;15345
2001;820;1568;5613;5256;12041;18387
2002;539;1763;6148;6117;14756;20909
2003;889;2046;7227;8071;17974;27713
2004;864;1883;8058;9733;23791;32048
2005;1509;1829;8181;11805;24983;37396
2006;1359;1168;11158;14274;26175;41110
2007;1956;1703;10797;13321;27524;44171
2008;1456;1802;10872;11490;26776;48992
2009;1545;2136;11119;12245;26093;54815
2010;1580;1880;10873;11903;28327;55439
2011;2147;2358;10630;12141;28510;67314
2012;1619;2276;11497;11717;30656;69182
2013;2406;2453;12822;11897;31045;75868
2014;2261;2081;14044;11736;31585;77522
2015;3239;2592;13731;11967;30114;81585
2016;3490;1643;14435;12028;31401;80504
2017;4102;2137;14679;13767;30327;84932
2018;5589;2660;14834;14690;30904;88542
2019;7334;3695;14936;15202;31520;95962
2020;9307;3766;18540;14964;27411;81696
2021;10279;5205;13766;16415;27879;87829
2022;11251;6175;14646;16764;27557;85392
2023;14286;9280;15218;14709;28871;97527
2024;18127;10583;17452;16318;27452;91673
