Year,3,6,Unknown
1979,2,0.0,0.0
1982,2,0.0,0.0
1983,3,0.0,0.0
1984,2,0.0,0.0
1985,3,0.0,0.0
1986,4,0.0,0.0
1987,6,0.0,0.0
1988,6,0.0,0.0
1989,3,0.0,0.0
1990,8,0.0,0.0
1991,11,0.0,0.0
1992,12,1.0,0.0
1993,6,0.0,0.0
1994,4,0.0,0.0
1995,8,0.0,0.0
1996,7,1.0,0.0
1997,5,0.0,0.0
1998,6,3.0,0.0
1999,15,0.0,0.0
2000,7,1.0,0.0
2001,8,1.0,0.0
2002,9,3.0,0.0
2003,14,3.0,0.0
2004,11,8.0,0.0
2005,10,4.0,0.0
2006,7,3.0,0.0
2007,14,5.0,0.0
2008,10,11.0,0.0
2009,13,12.0,0.0
2010,11,9.0,0.0
2011,23,14.0,0.0
2012,12,15.0,0.0
2013,13,10.0,9.0
2014,9,16.0,0.0
2015,11,22.0,3.0
2016,9,28.0,1.0
2017,13,26.0,1.0
2018,11,21.0,4.0
2019,16,31.0,2.0
2020,23,38.0,1.0
2021,26,41.0,5.0
2022,20,34.0,6.0
2023,18,62.0,3.0
2024,15,53.0,0.0
2025,21,23.0,0.0
