Year,6,3,Unknown
1979,1.0,2.0,0.0
1980,1.0,0.0,0.0
1981,0.0,5.0,0.0
1985,0.0,2.0,0.0
1988,0.0,2.0,0.0
1989,0.0,2.0,0.0
1990,0.0,2.0,0.0
1991,2.0,2.0,0.0
1992,1.0,4.0,0.0
1993,0.0,3.0,0.0
1995,2.0,5.0,0.0
1996,1.0,4.0,0.0
1997,1.0,2.0,0.0
1998,2.0,3.0,0.0
1999,4.0,8.0,0.0
2000,8.0,5.0,0.0
2001,8.0,9.0,0.0
2002,18.0,7.0,0.0
2003,9.0,4.0,0.0
2004,26.0,7.0,0.0
2005,7.0,6.0,0.0
2006,18.0,1.0,0.0
2007,16.0,7.0,0.0
2008,7.0,7.0,0.0
2009,22.0,1.0,6.0
2010,18.0,4.0,10.0
2011,10.0,5.0,16.0
2012,16.0,3.0,12.0
2013,23.0,5.0,6.0
2014,20.0,7.0,12.0
2015,25.0,7.0,4.0
2016,17.0,15.0,4.0
2017,13.0,13.0,3.0
2018,14.0,6.0,2.0
2019,23.0,4.0,2.0
2020,11.0,10.0,5.0
2021,20.0,2.0,3.0
2022,8.0,7.0,2.0
2023,10.0,5.0,1.0
2024,14.0,10.0,0.0
2025,5.0,7.0,0.0
