ID,Name,Acronym,YearsListed,dblp_venue,mta_class
14,ACM Conference on Economics and Computation,EC,"CORE2008_A, ERA2010_B, CORE2013_B, CORE2014_B, CORE2017_B, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/sigecom,6
919,International Conference on Automated Planning and Scheduling,ICAPS;AIPS;Expert Planning Systems,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/icaps;conf/aips,6
1239,International Conference on the Principles of Knowledge Representation and Reasoning,KR,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/kr,3
1313,International Joint Conference on Artificial Intelligence,IJCAI,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/ijcai,3
638,IEEE International Conference on Computer Vision,ICCV,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/iccv,6
479,European Conference on Computer Vision,ECCV,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A*, CORE2023_A*",conf/eccv,6
1242,International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/eurocrypt,3
1840,Usenix Network and Distributed System Security Symposium,NDSS,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/ndss,6
94,Advances in Cryptology,CRYPTO,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/crypto,6
986,International Conference on Data Engineering,ICDE,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/icde,6
1548,International World Wide Web Conference,WWW;WWW (Fall),"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/www,6
642,IEEE International Conference on Data Mining,ICDM,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/icdm;conf/incdm,6
46,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/pods,3
823,Information Processing in Sensor Networks,IPSN,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/ipsn,6
63,ACM Symposium on Principles of Distributed Computing,PODC,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/podc,6
1842,Usenix Symposium on Operating Systems Design and Implementation,OSDI,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/osdi,6
1701,Real Time Systems Symposium,RTSS,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/rtss,6
38,ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/siggraph,6
66,ACM Symposium on User Interface Software and Technology,UIST;ACM Symposium on User Interface Software and Technology,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A*, CORE2023_A*",conf/uist,6
669,IEEE International Conference on Pervasive Computing and Communications,PERCOM,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/percom,6
758,IEEE Conference on Virtual Reality and 3D User Interfaces,VR;VRAIS,"ERA2010_B, CORE2013_B, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A*, CORE2023_A*",conf/vr,6
